predicted_prob,actual_make_rate,shots,model
0.3139345943927765,0.31508055286556913,11359,league_raw
0.36599987745285034,0.3691346069196232,11359,league_raw
0.37696340680122375,0.35957034689205847,11358,league_raw
0.3932426869869232,0.38348446166035743,11359,league_raw
0.41572973132133484,0.4070258848388801,11358,league_raw
0.4473316967487335,0.44651817941720223,11359,league_raw
0.48481035232543945,0.46566296883254094,11358,league_raw
0.5317030549049377,0.5237256800774716,11359,league_raw
0.641591489315033,0.6352350765979926,11358,league_raw
0.8565678000450134,0.8301787129148692,11359,league_raw
0.3100682407453028,0.31508055286556913,11359,league_final
0.3612968134448336,0.3691346069196232,11359,league_final
0.3720955734896414,0.35957034689205847,11358,league_final
0.3881377103739983,0.38348446166035743,11359,league_final
0.41031124547807807,0.4070258848388801,11358,league_final
0.4415058719188159,0.44651817941720223,11359,league_final
0.47855476618878984,0.46566296883254094,11358,league_final
0.5250120691716312,0.5237256800774716,11359,league_final
0.6344359978292203,0.6352350765979926,11358,league_final
0.8518734655863237,0.8301787129148692,11359,league_final
0.2928270101547241,0.3131437626551633,11359,player_raw
0.34361833333969116,0.35760190157584293,11359,player_raw
0.36147820949554443,0.37480190174326466,11358,player_raw
0.37983667850494385,0.38577339554538254,11359,player_raw
0.4022470712661743,0.4077302341961613,11358,player_raw
0.4314616620540619,0.433576899374945,11359,player_raw
0.4702123999595642,0.47015319598520866,11358,player_raw
0.5223931074142456,0.5269830090676996,11359,player_raw
0.6351507902145386,0.6367318189822152,11358,player_raw
0.8581802248954773,0.8291222818910116,11359,player_raw
0.2928270101547241,0.3131437626551633,11359,player_final
0.34361833333969116,0.35760190157584293,11359,player_final
0.36147820949554443,0.37480190174326466,11358,player_final
0.37983667850494385,0.38577339554538254,11359,player_final
0.4022470712661743,0.4077302341961613,11358,player_final
0.4314616620540619,0.433576899374945,11359,player_final
0.4702123999595642,0.47015319598520866,11358,player_final
0.5223931074142456,0.5269830090676996,11359,player_final
0.6351507902145386,0.6367318189822152,11358,player_final
0.8581802248954773,0.8291222818910116,11359,player_final
