model,calibration,split,log_loss,roc_auc,brier
league,raw,calibration,0.6375918748747496,0.6624680734670584,0.2244064093888496
league,raw,test,0.6432096304871728,0.6551410824254905,0.22659245030366623
league,isotonic,calibration,0.636504729529261,0.6630533834384319,0.2241047820524035
league,isotonic,test,0.6431143404491381,0.6549020298873018,0.22666167535980616
league,platt,calibration,0.6375251569650608,0.662468072596554,0.22439012056887542
league,platt,test,0.6429865055342343,0.6551410811818744,0.22652234697210008
player,raw,calibration,0.6322458308901512,0.6726722211248143,0.22216893943610616
player,raw,test,0.6427205635472609,0.6559506473960404,0.2264631214948752
player,isotonic,calibration,0.6313041627110676,0.673214765675759,0.2218487174879839
player,isotonic,test,0.6440529590759989,0.6557388727983628,0.22679727312938086
player,platt,calibration,0.6322285437336611,0.6726722202543098,0.22216107568048124
player,platt,test,0.6428754761009035,0.6559506478623963,0.22652035600061823
